yourlist:M201909028471C63D39733769F8E060B506551E123F05953	Entry	Entry name	Status	Protein names	Gene names	Organism	Length		
PRH2	P02810	PRPC_HUMAN	reviewed	Salivary acidic proline-rich phosphoprotein 1/2 (Db-s) (PRP-1/PRP-2) (Parotid acidic protein) (Pa) (Parotid double-band protein) (Parotid isoelectric focusing variant protein) (PIF-S) (Parotid proline-rich protein 1/2) (Pr1/Pr2) (Protein C) [Cleaved into: Salivary acidic proline-rich phosphoprotein 1/2; Salivary acidic proline-rich phosphoprotein 3/4 (Db-F) (PIF-F) (PRP-3/PRP-4) (Protein A); Peptide P-C]	PRH1; PRH2	Homo sapiens (Human)	166	Q9UBE8	51701
LARP4	Q71RC2	LARP4_HUMAN	reviewed	La-related protein 4 (La ribonucleoprotein domain family member 4)	LARP4 PP13296	Homo sapiens (Human)	724	A6NKB5	80003
RASSF3	Q86WH2	RASF3_HUMAN	reviewed	Ras association domain-containing protein 3	RASSF3	Homo sapiens (Human)	238	Q09028	5928
C1QTNF9	P0C862	C1T9A_HUMAN	reviewed	Complement C1q and tumor necrosis factor-related protein 9A (Complement C1q and tumor necrosis factor-related protein 9)	C1QTNF9 C1QTNF9A UNQ6503/PRO21380	Homo sapiens (Human)	333	P35498	6323
PCCA	P05165	PCCA_HUMAN	reviewed	"Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)"	PCCA	Homo sapiens (Human)	728	P12757	6498
ATPBD4	Q7L8W6	DPH6_HUMAN	reviewed	Diphthine--ammonia ligase (EC 6.3.1.14) (ATP-binding domain-containing protein 4) (Diphthamide synthase) (Diphthamide synthetase) (Protein DPH6 homolog)	DPH6 ATPBD4	Homo sapiens (Human)	267	Q6ZVD7	219736
IGFALS	P35858	ALS_HUMAN	reviewed	Insulin-like growth factor-binding protein complex acid labile subunit (ALS)	IGFALS ALS	Homo sapiens (Human)	605	Q9ULT0	57217
MT3	P25713	MT3_HUMAN	reviewed	Metallothionein-3 (MT-3) (GIFB) (GIF) (Growth inhibitory factor) (Metallothionein-III) (MT-III)	MT3	Homo sapiens (Human)	68	Q6IV72	155054
CMTM2	Q8TAZ6	CKLF2_HUMAN	reviewed	CKLF-like MARVEL transmembrane domain-containing protein 2 (Chemokine-like factor superfamily member 2)	CMTM2 CKLFSF2	Homo sapiens (Human)	248	Q96IT1	84838
CNP	P09543	CN37_HUMAN	reviewed	"2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)"	CNP	Homo sapiens (Human)	421	Q9C0B2	85452
ITGA2B	P08514	ITA2B_HUMAN	reviewed	"Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]"	ITGA2B GP2B ITGAB	Homo sapiens (Human)	1039	Q69YI7	203245
SETBP1	Q9Y6X0	SETBP_HUMAN	reviewed	SET-binding protein (SEB)	SETBP1 KIAA0437	Homo sapiens (Human)	1596	B2RN74	440153
TMED1	Q13445	TMED1_HUMAN	reviewed	Transmembrane emp24 domain-containing protein 1 (Interleukin-1 receptor-like 1 ligand) (Putative T1/ST2 receptor-binding protein) (p24 family protein gamma-1) (Tp24) (p24gamma1)	TMED1 IL1RL1L IL1RL1LG	Homo sapiens (Human)	227	Q8NGA8	81099
ZNF676	Q8N7Q3	ZN676_HUMAN	reviewed	Zinc finger protein 676	ZNF676	Homo sapiens (Human)	588	Q9P1Q5	8383
ZNF525	Q8N782	ZN525_HUMAN	reviewed	Zinc finger protein 525	ZNF525 KIAA1979	Homo sapiens (Human)	197	Q8TDI8	117531
TRMU	O75648	MTU1_HUMAN	reviewed	Mitochondrial tRNA-specific 2-thiouridylase 1 (EC 2.8.1.14) (MTO2 homolog)	TRMU MTU1 TRMT1	Homo sapiens (Human)	421	P51649	7915
SH3BP5	O60239	3BP5_HUMAN	reviewed	SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK)	SH3BP5 SAB	Homo sapiens (Human)	455	Q96QE3	79915
EPM2AIP1	Q7L775	EPMIP_HUMAN	reviewed	EPM2A-interacting protein 1 (Laforin-interacting protein)	EPM2AIP1 KIAA0766 My007	Homo sapiens (Human)	607	Q6AI12	91369
XYLB	O75191	XYLB_HUMAN	reviewed	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	XYLB	Homo sapiens (Human)	536	Q9Y233	10846
WDR6	Q9NNW5	WDR6_HUMAN	reviewed	WD repeat-containing protein 6	WDR6	Homo sapiens (Human)	1121	P07476	3713
FNDC3B	Q53EP0	FND3B_HUMAN	reviewed	Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37)	FNDC3B FAD104 NS5ABP37 UNQ2421/PRO4979/PRO34274	Homo sapiens (Human)	1204	Q9H1A4	64682
SLCO4C1	Q6ZQN7	SO4C1_HUMAN	reviewed	Solute carrier organic anion transporter family member 4C1 (OATP-H) (Organic anion transporter M1) (OATP-M1) (Solute carrier family 21 member 20)	SLCO4C1 OATP4C1 OATPX SLC21A20	Homo sapiens (Human)	724	Q9Y336	27180
FARS2	O95363	SYFM_HUMAN	reviewed	"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)"	FARS2 FARS1 HSPC320	Homo sapiens (Human)	451	Q3LI59	337978
TAAR2	Q9P1P5	TAAR2_HUMAN	reviewed	Trace amine-associated receptor 2 (TaR-2) (Trace amine receptor 2) (G-protein coupled receptor 58)	TAAR2 GPR58	Homo sapiens (Human)	351	Q8NHU0	441519
PRRT4	C9JH25	PRRT4_HUMAN	reviewed	Proline-rich transmembrane protein 4	PRRT4	Homo sapiens (Human)	899	Q8TDM5	171169
SCARA5	Q6ZMJ2	SCAR5_HUMAN	reviewed	Scavenger receptor class A member 5 (Scavenger receptor hlg)	SCARA5 UNQ2938/PRO28700	Homo sapiens (Human)	495	Q9BYX2	55357
MAPK8IP2	Q13387	JIP2_HUMAN	reviewed	C-Jun-amino-terminal kinase-interacting protein 2 (JIP-2) (JNK-interacting protein 2) (Islet-brain-2) (IB-2) (JNK MAP kinase scaffold protein 2) (Mitogen-activated protein kinase 8-interacting protein 2)	MAPK8IP2 IB2 JIP2 PRKM8IPL	Homo sapiens (Human)	824	O75822	8669
THAP11	Q96EK4	THA11_HUMAN	reviewed	THAP domain-containing protein 11	THAP11 HRIHFB2206	Homo sapiens (Human)	314	Q8NB49	286410
ATXN3	P54252	ATX3_HUMAN	reviewed	Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	ATXN3 ATX3 MJD MJD1 SCA3	Homo sapiens (Human)	361	Q6AHZ1	9849
FLNB	O75369	FLNB_HUMAN	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	2602	Q8TAB5	127703
ZBTB20	Q9HC78	ZBT20_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 20 (Dendritic-derived BTB/POZ zinc finger protein) (Zinc finger protein 288)	ZBTB20 DPZF ZNF288	Homo sapiens (Human)	741	Q9Y6Q1	827
WASH4P	A8MWX3	WASH4_HUMAN	reviewed	Putative WAS protein family homolog 4 (Protein FAM39CP)	WASH4P FAM39CP	Homo sapiens (Human)	477	Q8TDG2	139741
AFTPH	Q6ULP2	AFTIN_HUMAN	reviewed	Aftiphilin	AFTPH AFTH	Homo sapiens (Human)	936	Q9UKT9	22806
"FZD9,FZD3"	O00144	FZD9_HUMAN	reviewed	Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349)	FZD9 FZD3	Homo sapiens (Human)	591	Q9BS91	55032
FZD3	Q9NPG1	FZD3_HUMAN	reviewed	Frizzled-3 (Fz-3) (hFz3)	FZD3	Homo sapiens (Human)	666	Q9UN73	56142
IRX6	P78412	IRX6_HUMAN	reviewed	Iroquois-class homeodomain protein IRX-6 (Homeodomain protein IRXB3) (Iroquois homeobox protein 6)	IRX6 IRX7 IRXB3	Homo sapiens (Human)	446	Q8N7C4	221468
AFF1	P51825	AFF1_HUMAN	reviewed	AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)	AFF1 AF4 FEL MLLT2 PBM1	Homo sapiens (Human)	1210	Q9UJA9	59084
AGMAT	Q9BSE5	SPEB_HUMAN	reviewed	"Agmatinase, mitochondrial (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)"	AGMAT	Homo sapiens (Human)	352	Q86VQ1	113263
ANO10	Q9NW15	ANO10_HUMAN	reviewed	Anoctamin-10 (Transmembrane protein 16K)	ANO10 TMEM16K	Homo sapiens (Human)	660	P30988	799
DDB1	Q16531	DDB1_HUMAN	reviewed	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe)	DDB1 XAP1	Homo sapiens (Human)	1140	Q9Y2K6	10868
"NXPE3,FAM55C"	Q969Y0	NXPE3_HUMAN	reviewed	NXPE family member 3 (Protein FAM55C)	NXPE3 FAM55C MSTP115 UNQ5791/PRO19596	Homo sapiens (Human)	559	Q9NXH8	54863
FAR2	Q96K12	FACR2_HUMAN	reviewed	Fatty acyl-CoA reductase 2 (EC 1.2.1.84) (Male sterility domain-containing protein 1)	FAR2 MLSTD1	Homo sapiens (Human)	515	Q96LT4	142891
FBP1	P09467	F16P1_HUMAN	reviewed	"Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase)"	FBP1 FBP	Homo sapiens (Human)	338	Q13370	5140
KIF20B	Q96Q89	KI20B_HUMAN	reviewed	Kinesin-like protein KIF20B (Cancer/testis antigen 90) (CT90) (Kinesin family member 20B) (Kinesin-related motor interacting with PIN1) (M-phase phosphoprotein 1) (MPP1)	KIF20B KRMP1 MPHOSPH1	Homo sapiens (Human)	1820	Q92466	1643
KRTAP25-1	Q3LHN0	KR251_HUMAN	reviewed	Keratin-associated protein 25-1	KRTAP25-1 KAP25.1	Homo sapiens (Human)	102	Q8WTU0	414301
MESDC2	Q14696	MESD_HUMAN	reviewed	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Renal carcinoma antigen NY-REN-61)	MESD KIAA0081 MESDC2 MESDM UNQ1911/PRO4369	Homo sapiens (Human)	234	Q6J9G0	55359
MYBPC2	Q14324	MYPC2_HUMAN	reviewed	"Myosin-binding protein C, fast-type (Fast MyBP-C) (C-protein, skeletal muscle fast isoform)"	MYBPC2 MYBPCF	Homo sapiens (Human)	1141	Q7Z4S6	55605
PAPOLG	Q9BWT3	PAPOG_HUMAN	reviewed	Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Neo-poly(A) polymerase) (Neo-PAP) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme)	PAPOLG PAP2 PAPG	Homo sapiens (Human)	736	P0C672	144448
PROX2	Q3B8N5	PROX2_HUMAN	reviewed	Prospero homeobox protein 2 (Homeobox prospero-like protein PROX2) (PROX-2)	PROX2	Homo sapiens (Human)	592	Q92610	9640
SCIN	Q9Y6U3	ADSV_HUMAN	reviewed	Adseverin (Scinderin)	SCIN KIAA1905	Homo sapiens (Human)	715	P51170	6340
SECISBP2	Q96T21	SEBP2_HUMAN	reviewed	Selenocysteine insertion sequence-binding protein 2 (SECIS-binding protein 2)	SECISBP2 SBP2	Homo sapiens (Human)	854	Q8NBR0	90313
SELP	P16109	LYAM3_HUMAN	reviewed	P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P)	SELP GMRP GRMP	Homo sapiens (Human)	830	Q9UPT5	23265
SELP	P49908	SEPP1_HUMAN	reviewed	Selenoprotein P (SeP)	SELENOP SELP SEPP1	Homo sapiens (Human)	381	Q9H2F9	80323
THBS4	P35443	TSP4_HUMAN	reviewed	Thrombospondin-4	THBS4 TSP4	Homo sapiens (Human)	961	O96009	9476
TMEM54	Q969K7	TMM54_HUMAN	reviewed	Transmembrane protein 54 (Beta-casein-like protein) (Protein CAC-1)	TMEM54 BCLP CAC1	Homo sapiens (Human)	222	P54920	8775
TREH	O43280	TREA_HUMAN	reviewed	"Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)"	TREH TREA	Homo sapiens (Human)	583	Q96P66	83550
DOK6	Q6PKX4	DOK6_HUMAN	reviewed	Docking protein 6 (Downstream of tyrosine kinase 6)	DOK6 DOK5L	Homo sapiens (Human)	331	P33897	215
ACP6	Q9NPH0	PPA6_HUMAN	reviewed	"Lysophosphatidic acid phosphatase type 6 (EC 3.1.3.2) (Acid phosphatase 6, lysophosphatidic) (Acid phosphatase-like protein 1) (PACPL1)"	ACP6 ACPL1 LPAP UNQ205/PRO231	Homo sapiens (Human)	428	O43593	55806
TEKT4	Q8WW24	TEKT4_HUMAN	reviewed	Tektin-4	TEKT4	Homo sapiens (Human)	435	Q6PJP8	9937
STK32B	Q9NY57	ST32B_HUMAN	reviewed	Serine/threonine-protein kinase 32B (EC 2.7.11.1) (Yet another novel kinase 2)	STK32B YANK2 UNQ3003/PRO9744	Homo sapiens (Human)	414	Q96B26	11340
TUBB4B	P68371	TBB4B_HUMAN	reviewed	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)	445	Q8N5G2	55219
TECTA	O75443	TECTA_HUMAN	reviewed	Alpha-tectorin	TECTA	Homo sapiens (Human)	2155	Q96S66	23155
TEAD4	Q15561	TEAD4_HUMAN	reviewed	Transcriptional enhancer factor TEF-3 (TEA domain family member 4) (TEAD-4) (Transcription factor 13-like 1) (Transcription factor RTEF-1)	TEAD4 RTEF1 TCF13L1 TEF3	Homo sapiens (Human)	434	P02545	4000
EMC10	Q5UCC4	EMC10_HUMAN	reviewed	ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1)	EMC10 C19orf63 HSM1 INM02 UNQ764/PRO1556	Homo sapiens (Human)	262	Q9UGL1	10765
UBASH3A	P57075	UBS3A_HUMAN	reviewed	Ubiquitin-associated and SH3 domain-containing protein A (Cbl-interacting protein 4) (CLIP4) (Suppressor of T-cell receptor signaling 2) (STS-2) (T-cell ubiquitin ligand 1) (TULA-1)	UBASH3A STS2	Homo sapiens (Human)	661	Q9H583	55127
KCNS1	Q96KK3	KCNS1_HUMAN	reviewed	Potassium voltage-gated channel subfamily S member 1 (Delayed-rectifier K(+) channel alpha subunit 1) (Voltage-gated potassium channel subunit Kv9.1)	KCNS1	Homo sapiens (Human)	526	Q8NBX0	51097
SOBP	A7XYQ1	SOBP_HUMAN	reviewed	Sine oculis-binding protein homolog (Jackson circler protein 1)	SOBP JXC1	Homo sapiens (Human)	873	Q8N3C7	79745
THPO	P40225	TPO_HUMAN	reviewed	Thrombopoietin (C-mpl ligand) (ML) (Megakaryocyte colony-stimulating factor) (Megakaryocyte growth and development factor) (MGDF) (Myeloproliferative leukemia virus oncogene ligand)	THPO MGDF	Homo sapiens (Human)	353	Q13901	10438
PDPN	Q86YL7	PDPN_HUMAN	reviewed	Podoplanin (Aggrus) (Glycoprotein 36) (Gp36) (PA2.26 antigen) (T1-alpha) (T1A) [Cleaved into: 29kDa cytosolic podoplanin intracellular domain (PICD)]	PDPN GP36 PSEC0003 PSEC0025	Homo sapiens (Human)	162	Q16281	1261
RGL2	O15211	RGL2_HUMAN	reviewed	Ral guanine nucleotide dissociation stimulator-like 2 (RalGDS-like 2) (RalGDS-like factor) (Ras-associated protein RAB2L)	RGL2 RAB2L	Homo sapiens (Human)	777	Q9NR80	50649
ZFPL1	O95159	ZFPL1_HUMAN	reviewed	Zinc finger protein-like 1 (Zinc finger protein MCG4)	ZFPL1	Homo sapiens (Human)	310	Q04771	90
FAM86C2P	A6NEL3	F86C2_HUMAN	reviewed	Putative protein FAM86C2P (EC 2.1.1.-)	FAM86C2P	Homo sapiens (Human)	165	Q86WT1	92104
HNF4G	Q14541	HNF4G_HUMAN	reviewed	Hepatocyte nuclear factor 4-gamma (HNF-4-gamma) (Nuclear receptor subfamily 2 group A member 2)	HNF4G NR2A2	Homo sapiens (Human)	408	P52594	3267
NOX5	Q96PH1	NOX5_HUMAN	reviewed	NADPH oxidase 5 (EC 1.6.3.-)	NOX5	Homo sapiens (Human)	765	Q8IZD9	1795
SFMBT1	Q9UHJ3	SMBT1_HUMAN	reviewed	Scm-like with four MBT domains protein 1 (hSFMBT) (Renal ubiquitous protein 1)	SFMBT1 RU1	Homo sapiens (Human)	866	Q8TBJ5	55079
SORBS2	O94875	SRBS2_HUMAN	reviewed	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin)	SORBS2 ARGBP2 KIAA0777	Homo sapiens (Human)	1100	Q8TF20	170960
SLC1A1	P43005	EAA3_HUMAN	reviewed	Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Neuronal and epithelial glutamate transporter) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1)	SLC1A1 EAAC1 EAAT3	Homo sapiens (Human)	524	Q96PQ0	57537
EXOC3	O60645	EXOC3_HUMAN	reviewed	Exocyst complex component 3 (Exocyst complex component Sec6)	EXOC3 SEC6 SEC6L1	Homo sapiens (Human)	745	P02768	213
SEC16B	Q96JE7	SC16B_HUMAN	reviewed	Protein transport protein Sec16B (Leucine zipper transcription regulator 2) (Regucalcin gene promoter region-related protein p117) (RGPR-p117) (SEC16 homolog B)	SEC16B KIAA1928 LZTR2 RGPR SEC16S	Homo sapiens (Human)	1060	Q8TES7	85302
MR1	Q8N490	PNKD_HUMAN	reviewed	Probable hydrolase PNKD (EC 3.-.-.-) (Myofibrillogenesis regulator 1) (MR-1) (Paroxysmal nonkinesiogenic dyskinesia protein) (Trans-activated by hepatitis C virus core protein 2)	PNKD KIAA1184 MR1 TAHCCP2 FKSG19 UNQ2491/PRO5778	Homo sapiens (Human)	385	P15428	3248
MR1	Q95460	HMR1_HUMAN	reviewed	Major histocompatibility complex class I-related gene protein (MHC class I-related gene protein) (Class I histocompatibility antigen-like protein)	MR1	Homo sapiens (Human)	341	Q96KW2	94026
ROBO3	Q96MS0	ROBO3_HUMAN	reviewed	Roundabout homolog 3 (Roundabout-like protein 3)	ROBO3	Homo sapiens (Human)	1386	Q8N3F0	222166
CCM2L	Q9NUG4	CCM2L_HUMAN	reviewed	Cerebral cavernous malformations 2 protein-like (CCM2-like)	CCM2L C20orf160	Homo sapiens (Human)	571	P33993	4176
CUL4B	Q13620	CUL4B_HUMAN	reviewed	Cullin-4B (CUL-4B)	CUL4B KIAA0695	Homo sapiens (Human)	913	Q12809	3757
NDST3	O95803	NDST3_HUMAN	reviewed	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3 (EC 2.8.2.8) (Glucosaminyl N-deacetylase/N-sulfotransferase 3) (NDST-3) (hNDST-3) (N-heparan sulfate sulfotransferase 3) (N-HSST 3) [Includes: Heparan sulfate N-deacetylase 3 (EC 3.-.-.-); Heparan sulfate N-sulfotransferase 3 (EC 2.8.2.-)]	NDST3 HSST3 UNQ2544/PRO4998	Homo sapiens (Human)	873	P61978	3190
OR6Q1	Q8NGQ2	OR6Q1_HUMAN	reviewed	Olfactory receptor 6Q1 (Olfactory receptor OR11-226)	OR6Q1	Homo sapiens (Human)	317	Q16875	5209
CPT1C	Q8TCG5	CPT1C_HUMAN	reviewed	"Carnitine O-palmitoyltransferase 1, brain isoform (CPT1-B) (EC 2.3.1.21) (CPT IC) (Carnitine O-palmitoyltransferase I, brain isoform) (CPTI-B) (Carnitine palmitoyltransferase 1C)"	CPT1C CATL1	Homo sapiens (Human)	803	Q9NV23	55301
NUP43	Q8NFH3	NUP43_HUMAN	reviewed	Nucleoporin Nup43 (Nup107-160 subcomplex subunit Nup43) (p42)	NUP43	Homo sapiens (Human)	380	Q6B8I1	51207
HIC1	Q14526	HIC1_HUMAN	reviewed	Hypermethylated in cancer 1 protein (Hic-1) (Zinc finger and BTB domain-containing protein 29)	HIC1 ZBTB29	Homo sapiens (Human)	733	Q9UII6	51207
KRT27	Q7Z3Y8	K1C27_HUMAN	reviewed	"Keratin, type I cytoskeletal 27 (Cytokeratin-27) (CK-27) (Keratin-25C) (K25C) (Keratin-27) (K27) (Type I inner root sheath-specific keratin-K25irs3)"	KRT27 KRT25C	Homo sapiens (Human)	459	Q9H2C8	283111
UTS2	O95399	UTS2_HUMAN	reviewed	Urotensin-2 (Urotensin II) (U-II) (UII)	UTS2 UNQ525/PRO1068	Homo sapiens (Human)	124	Q4AC99	390110
PHYHIPL	Q96FC7	PHIPL_HUMAN	reviewed	Phytanoyl-CoA hydroxylase-interacting protein-like	PHYHIPL KIAA1796 UNQ6309/PRO20934	Homo sapiens (Human)	376	Q96HD9	91703
THSD7B	Q9C0I4	THS7B_HUMAN	reviewed	Thrombospondin type-1 domain-containing protein 7B	THSD7B KIAA1679	Homo sapiens (Human)	1608	Q63HR2	23371
SDE2	Q6IQ49	SDE2_HUMAN	reviewed	Replication stress response regulator SDE2	SDE2 C1orf55	Homo sapiens (Human)	451	P49770	8892
MASP1	P48740	MASP1_HUMAN	reviewed	Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain]	MASP1 CRARF CRARF1 PRSS5	Homo sapiens (Human)	699	Q6ZRY4	348093
SNX2	O60749	SNX2_HUMAN	reviewed	Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9)	SNX2 TRG9	Homo sapiens (Human)	519	Q96A99	390667
NAPRT1	Q6XQN6	PNCB_HUMAN	reviewed	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21) (FHA-HIT-interacting protein) (Nicotinate phosphoribosyltransferase domain-containing protein 1)	NAPRT FHIP NAPRT1	Homo sapiens (Human)	538	O60271	9043
DEFB129	Q9H1M3	DB129_HUMAN	reviewed	"Beta-defensin 129 (Beta-defensin 29) (DEFB-29) (Defensin, beta 129)"	DEFB129 C20orf87 DEFB29 UNQ5794/PRO19599	Homo sapiens (Human)	183	O94911	10351
RAB11FIP4	Q86YS3	RFIP4_HUMAN	reviewed	Rab11 family-interacting protein 4 (FIP4-Rab11) (Rab11-FIP4) (Arfophilin-2)	RAB11FIP4 ARFO2 KIAA1821	Homo sapiens (Human)	637	Q6UW60	54760
PYGL	P06737	PYGL_HUMAN	reviewed	"Glycogen phosphorylase, liver form (EC 2.4.1.1)"	PYGL	Homo sapiens (Human)	847	O95365	51341
NCR3	O14931	NCTR3_HUMAN	reviewed	Natural cytotoxicity triggering receptor 3 (Activating natural killer receptor p30) (Natural killer cell p30-related protein) (NK-p30) (NKp30) (CD antigen CD337)	NCR3 1C7 LY117	Homo sapiens (Human)	201	Q3KP31	163049
HOXB4	P17483	HXB4_HUMAN	reviewed	Homeobox protein Hox-B4 (Homeobox protein Hox-2.6) (Homeobox protein Hox-2F)	HOXB4 HOX2F	Homo sapiens (Human)	251	Q9UJ99	64405
PRR3	P79522	PRR3_HUMAN	reviewed	Proline-rich protein 3 (MHC class I region proline-rich protein CAT56)	PRR3 CAT56	Homo sapiens (Human)	188	Q2WGN9	128954
ZNF671	Q8TAW3	ZN671_HUMAN	reviewed	Zinc finger protein 671	ZNF671	Homo sapiens (Human)	534	Q9HBI1	29780
TMEM151A	Q8N4L1	T151A_HUMAN	reviewed	Transmembrane protein 151A	TMEM151A TMEM151	Homo sapiens (Human)	468	Q6ZPD8	347516
PAQR9	Q6ZVX9	PAQR9_HUMAN	reviewed	Membrane progestin receptor epsilon (mPR epsilon) (Membrane progesterone P4 receptor epsilon) (Membrane progesterone receptor epsilon) (Progesterone and adipoQ receptor family member 9) (Progestin and adipoQ receptor family member 9) (Progestin and adipoQ receptor family member IX)	PAQR9	Homo sapiens (Human)	377	O15294	8473
SND1	Q7KZF4	SND1_HUMAN	reviewed	Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)	SND1 TDRD11	Homo sapiens (Human)	910	Q86V20	54537
RAB38	P57729	RAB38_HUMAN	reviewed	Ras-related protein Rab-38 (Melanoma antigen NY-MEL-1)	RAB38	Homo sapiens (Human)	211	A6NHN6	440348
ACAD10	Q6JQN1	ACD10_HUMAN	reviewed	Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-)	ACAD10	Homo sapiens (Human)	1059	Q5VTB9	55182
SIM2	Q14190	SIM2_HUMAN	reviewed	Single-minded homolog 2 (Class E basic helix-loop-helix protein 15) (bHLHe15)	SIM2 BHLHE15	Homo sapiens (Human)	667	Q9H4A5	55204
HCFC1	P51610	HCFC1_HUMAN	reviewed	Host cell factor 1 (HCF) (HCF-1) (C1 factor) (CFF) (VCAF) (VP16 accessory protein) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6]	HCFC1 HCF1 HFC1	Homo sapiens (Human)	2035	O60341	23028
NEO1	Q92859	NEO1_HUMAN	reviewed	Neogenin (Immunoglobulin superfamily DCC subclass member 2)	NEO1 IGDCC2 NGN	Homo sapiens (Human)	1461	Q96BQ5	133957
ARC	O60936	NOL3_HUMAN	reviewed	Nucleolar protein 3 (Apoptosis repressor with CARD) (Muscle-enriched cytoplasmic protein) (Myp) (Nucleolar protein of 30 kDa) (Nop30)	NOL3 ARC NOP	Homo sapiens (Human)	208	Q86WS4	283461
ARC	Q7LC44	ARC_HUMAN	reviewed	Activity-regulated cytoskeleton-associated protein (hArc) (Activity-regulated gene 3.1 protein homolog) (ARC/ARG3.1) (Arg3.1)	ARC KIAA0278	Homo sapiens (Human)	396	P56192	4141
FOXD1	Q16676	FOXD1_HUMAN	reviewed	Forkhead box protein D1 (Forkhead-related protein FKHL8) (Forkhead-related transcription factor 4) (FREAC-4)	FOXD1 FKHL8 FREAC4	Homo sapiens (Human)	465	Q96LU7	196446
